"Name","DTF_Ro16","DTF_Ro17","DTF_Su16","DTF_Su17","REP_Ro16","REP_Ro17","REP_Su16","REP_Su17","TFT_0_Su16","TFT_Tb_Su16","TFT_0_Su17","TFT_Tb_Su17","TFT_0_Ro16","TFT_Tb_Ro16","TFT_0_Ro17","TFT_Tb_Ro17","TRT_0_Su16","TRT_Tb_Su16","TRT_0_Su17","TRT_Tb_Su17","TRT_0_Ro16","TRT_Tb_Ro16","TRT_0_Ro17","TRT_Tb_Ro17","PC1","PC2","PC3","PC4"
"PI_308614_LSP_AGL",47.3,46.3,52.3,51.7,43.7,34.3,41.7,32.5,646.5,3181,605,3195,715.9,3496.6,642.9,3343.9,787.6,3664.6,660.1,3040.1,898.1,4035.3,675.1,3157.1,-0.563,0.1513,-0.1676,1.6379
"PI_311107_LSP_AGL",49.3,46.7,52.3,53,45.3,NA,41.7,37,639.8,3077,649,3449,747.9,3563.9,628.7,3220.7,787.6,3631,724.9,3314.9,908.9,4076.9,0,0,-3.6648,-0.2072,1.8539,2.0766
"PI_312175_LSP_AGL",48.7,48.3,55.7,56,49.3,32,48.3,34,711,2620.2,705.7,2729.7,740,2596,683.4,2555.4,916.7,3092.3,688.1,2298.1,994.9,3314.9,634.5,2170.5,3.6138,2.1956,-1.1988,-1.4526
"PI_320935_LSP_AGL",43.7,42,45.3,45,51.3,39.3,47,42.3,514.8,1792,557.1,2027.1,636.8,2148.8,560.7,2012.7,883.2,2819.6,803.1,2609.1,1049.5,3295.9,789,2549,-7.4119,4.7666,1.0392,-3.6465
"PI_320936_LSP_AGL",48.3,46.3,52,52.3,46,35.7,46,35.3,649.8,1611.2,637,1677,740,1796,656.8,1682.8,879,2068.1,687.7,1597.7,931.4,2145.8,708.2,1680.2,5.5413,-5.3696,-0.2684,1.1276
"PI_320937_LSP_AGL",52.7,51.7,59,59.3,46,NA,45,31,779.4,1611.9,767.7,1679.7,830.9,1703.9,749.5,1589.5,854.3,1705.3,603.5,1173.5,915.8,1808.2,0,0,8.5587,-3.6796,5.8398,1.6492
"CN_105866_AGL",51,49,55.7,54.3,45,NA,39,34,700.4,2734,675.3,2817.3,797.1,3020.2,705.4,2825.4,737,2671.4,669,2403,921.2,3299.4,0,0,0.5412,1.5163,5.4126,3.4306
"PI_320941_LSP_AGL",45,44.3,49,50,47.7,NA,45.7,39,591.8,2206.8,607.8,2469.8,672.8,2511.7,612,2448,859.8,3044.8,783.8,2792.8,982.9,3368.5,0,0,-0.0734,0.0479,-0.943,-3.1563
"PI_320945_LSP_AGL",46.7,46.7,51.7,51.3,47.3,35,43.7,38,626.2,3139,629.8,3509.8,692.9,3455.5,642.9,3417.9,827.1,3898.3,723.8,3387.8,978.6,4468.2,708.2,3408.2,-2.5774,3.0554,2.6451,0.8041
"PI_320946_LSP_AGL",44,42.7,48,48,48,33.3,43.3,38,588.3,3324.3,569.6,3221.6,665.3,3592,560.7,3233.7,824.9,4168.9,732,3774,999.6,4875.5,682.3,3436.3,-10.0374,-2.2568,-1.1824,1.9032
"PI_320952_LSP_AGL",54.7,53.7,60.3,61.7,46,NA,44.7,NA,784.5,2034.1,787.2,2150.2,850.4,2182.4,788.3,2108.3,839.9,2117.9,0,0,909.8,2271.4,0,0,14.8797,-3.9786,1.6762,-0.753
"PI_320953_LSP_AGL",52,51.3,58.3,59.3,46,NA,46,33,759.6,2311.9,758.3,2497.3,819.2,2478,749.5,2387.5,854.3,2514.9,621.8,1768.8,937.8,2709.7,0,0,4.9804,-4.1757,2.3568,-4.5451
"PI_320954_LSP_AGL",50.7,49,54,54.7,45.3,33,42.7,32.7,686.9,2060.4,668.8,2062.8,781.7,2251.7,705.4,2145.4,807.9,2248.4,649.4,1771.4,921.2,2531.2,667.7,1891.7,0.1073,0.8342,0.8686,0.8332
"PI_329157_LSP_AGL",44,43.3,47,46.7,53,38,48.7,42,574.4,1791.2,545.7,1700.7,653.6,1931.6,580.3,1838.3,923.6,2579.8,828,2368,1066.1,2947.6,753.2,2159.2,11.2658,0.365,-1.3167,0.0567
"PI_329167_LSP_AGL",45.3,45,46.7,49,49.3,35.7,51,40.5,543.6,1720,589.9,1885.9,684.5,2060.1,635.5,2004.5,960.1,2724.7,759.3,2199.3,998.7,2772.5,719.9,2051.9,14.3633,2.2553,-5.3614,3.0219
"PI_339266_LSP_AGL",44.7,41.3,46,43,49.3,39,48.3,46,554.1,1481.6,528,1419,665.3,1697.6,544.6,1472.6,922.7,2221.2,869.5,2138.5,1017.9,2412.9,773.4,1904.4,3.3166,-2.9337,1.6311,1.9739
"PI_339283_LSP_AGL",45,44.3,50.3,50,50,35.3,44.3,35,601.5,3209.3,601.3,3524.3,658.1,3530.9,598.1,3468.1,825.9,4200.7,684.2,3528.2,1032.7,5102.5,700.3,3570.3,-4.937,-2.7816,-1.4884,1.3667
"PI_339285_AGL",46.3,45.3,51,48.7,47,32.7,43.7,37.7,619.5,2905,594.4,3073.4,678.2,3197.9,621.5,3141.5,825.9,3699.1,715.3,3261.3,962.1,4162.8,657.7,2967.7,1.1988,0.8436,0.4476,1.2808
"PI_339289_LSP_AGL",44.7,41,46.3,45,50,39.3,49.7,41,533,1601.8,546.1,1736.1,653.6,1917.2,558.5,1746.5,940.1,2610.1,759,2194,1017.9,2772.9,786.7,2226.7,1.6716,-1.915,2.1348,-2.449
"PI_339292_LSP_AGL",45,42,48.3,46.3,51,33,48.7,40,582.3,1628.8,561.5,1646.5,672.8,1834.6,574.6,1662.6,915.4,2380.5,748.2,1988.2,1049.3,2682.1,679.5,1767.5,14.2776,1.1683,1.586,-1.9788
"PI_339296_AGL",44.3,40,47.3,46.3,51.7,38,50.3,40,553.3,1295.8,581.8,1432.8,653.6,1510.4,545.2,1345.2,939.8,2064.8,748.2,1668.2,1049.3,2286.9,764.7,1739.7,-2.9001,0.4483,1.0671,-4.5914
"PI_343026_LSP_AGL",45,44.3,48.3,47.7,49.7,34.5,46.3,39.3,574.4,1521.5,568.3,1618.3,672.8,1786.5,598.1,1683.1,859.8,2180,756.3,1956.3,1017.9,2522.9,681.1,1735.1,4.2159,0.7989,2.2558,-1.0302
"PI_345627_LSP_AGL",53,52,56.3,59,45,NA,41.7,NA,741.3,2253.3,758.3,2403.3,854.2,2464.2,784,2368,788.3,2199.5,0,0,915.8,2525.8,0,0,6.1876,-0.4734,-1.0902,1.002
"PI_358602_LSP_AGL",49.7,46.3,52.3,53,48.3,35,47.3,34,660.4,1964.4,655.4,2049.4,762.6,2164.8,656.8,1986.8,876.1,2408.3,687.7,1877.7,972.3,2648.1,708.2,1968.2,1.2549,-2.4069,2.263,3.4678
"PI_368647_LSP_AGL",48.7,47.3,51,53,49.3,36,42.3,36,634.1,2214.9,649,2369,740,2480,677.5,2432.5,806,2594.8,724.9,2315.9,994.9,3169.9,687.5,2262.5,0.5757,0.5649,5.4046,2.3881
"PI_368651_LSP_AGL",51,47.7,52.7,53,46,NA,46,38,654.4,2050.6,655.4,2172.4,797.1,2409.6,663.6,2145.6,858.7,2505.5,743.2,2149.2,937.1,2699.6,0,0,0.021,-0.1623,3.9896,-1.5175
"PI_370481_LSP_AGL",49.3,46.7,54,53.3,43.3,35,39.7,35.5,703.4,3309.2,685.1,3413.1,762.6,3345.6,656.8,3126.8,752.3,3176.3,706.4,2938.4,873.8,3582.8,708.2,3048.2,7.9391,2.3955,2.3177,-4.0062
"PI_374116_LSP_AGL",48,48.3,52.3,54.3,47,33.7,44,36,649.8,1892.4,684.6,2146.6,751.7,2153.9,697.4,2097.4,823.3,2262.1,669,1825,955.6,2563,667.7,1857.7,-7.6655,-1.2972,-1.4363,2.9437
