"Name","Alanine_Ro17","Arginine_Ro17","Aspartic.acid_Ro17","Cysteine_Ro17","Glutamic.acid_Ro17","Glycine_Ro17","Histidine_Ro17","Isoleucine_Ro17","Leucine_Ro17","Lysine_Ro17","Methionine_Ro17","Phenylalanine_Ro17","Proline_Ro17","Protein_Ro17","Serine_Ro17","Threonine_Ro17","Tryptophan_Ro17","Tyrosine_Ro17","Valine_Ro17"
"PI_426797_LSP_AGL",1.0357,1.9722,2.9525,0.2383,4.1627,1.01,0.9182,1.1183,1.8842,1.722,0.2243,1.3142,1.0993,27.0061,1.2759,1.0636,0.2007,0.7782,1.2711
"PI_426807_LSP_AGL",1.1004,1.9524,3.1667,0.2721,4.2443,1.0644,0.7633,1.1496,1.9363,1.7685,0.256,1.341,1.1203,27.2112,1.3092,1.1309,0.2155,0.8171,1.3125
"PI_431618_LSP_AGL",1.1344,2.1725,3.2949,0.2664,4.5155,1.1184,0.8544,1.2148,2.0499,1.8451,0.2647,1.4189,1.1969,28.6318,1.3978,1.1958,0.2216,0.8673,1.3768
"PI_431622_LSP_AGL",1.0921,1.9829,3.1423,0.2848,4.2117,1.0623,0.7292,1.1325,1.9197,1.7762,0.2638,1.3275,1.1079,26.9683,1.3225,1.1657,0.2154,0.827,1.306
"PI_431630_LSP_AGL",1.1349,2.1135,3.3673,0.2738,4.5014,1.0997,0.796,1.2107,2.0308,1.8619,0.2719,1.4068,1.1722,28.3053,1.3811,1.2122,0.2197,0.8502,1.3699
"PI_431633_LSP_AGL",1.237,2.438,3.6348,0.2795,5.0189,1.2315,0.8926,1.3354,2.2399,1.9884,0.2809,1.5567,1.2627,30.8212,1.5218,1.2847,0.244,0.9426,1.5228
"PI_431636_LSP_AGL",1.2035,2.286,3.4991,0.2709,4.8399,1.1876,0.7802,1.2915,2.16,1.9621,0.2735,1.4959,1.2344,30.199,1.4681,1.2597,0.2362,0.9065,1.4717
"PI_431643_LSP_AGL",1.2264,2.2725,3.5941,0.2913,4.8298,1.2031,0.7119,1.3017,2.181,1.9903,0.2947,1.5141,1.2277,30.1874,1.4933,1.3093,0.2375,0.9378,1.4837
"PI_431662_LSP_AGL",1.2033,2.2254,3.4733,0.2933,4.6744,1.1579,0.7925,1.2394,2.1088,1.9494,0.2788,1.4544,1.1865,29.4304,1.4488,1.2249,0.2335,0.8992,1.4448
"PI_431663_LSP_AGL",1.1162,2.0895,3.2522,0.2913,4.3594,1.0798,0.7059,1.1676,1.9771,1.8214,0.2616,1.3711,1.1352,27.6063,1.3626,1.1643,0.2217,0.8476,1.3486
"PI_431679_LSP_AGL",1.2076,2.2866,3.5195,0.2898,4.7439,1.1407,0.8312,1.2607,2.1326,1.9564,0.2729,1.4701,1.2095,29.9314,1.452,1.2026,0.2338,0.8976,1.46
"PI_431684_LSP_AGL",1.1492,2.0639,3.341,0.2957,4.4457,1.115,0.6039,1.2313,2.0337,1.8808,0.2762,1.4151,1.1463,27.9773,1.4219,1.2166,0.2231,0.8718,1.3953
"PI_431705_LSP_AGL",1.095,2.0568,3.1442,0.2746,4.2755,1.069,0.8707,1.1537,1.9397,1.7982,0.2588,1.3437,1.1378,27.9166,1.3442,1.1413,0.2164,0.8462,1.3194
"PI_431710_LSP_AGL",1.154,2.1894,3.417,0.2921,4.5501,1.1241,0.7946,1.2296,2.0661,1.8959,0.2799,1.4284,1.1769,28.9683,1.4293,1.2022,0.2262,0.8815,1.4066
"PI_431714_LSP_AGL",1.1531,2.1695,3.3876,0.2993,4.4817,1.135,0.7683,1.2234,2.0479,1.8913,0.2764,1.4243,1.1607,28.6764,1.4389,1.2443,0.2293,0.8979,1.4002
"PI_431717_LSP_AGL",1.1656,2.1469,3.3918,0.2918,4.5168,1.1484,0.8032,1.2187,2.0516,1.8964,0.2793,1.4185,1.1712,28.6706,1.4304,1.2238,0.2276,0.8862,1.3953
"PI_431728_LSP_AGL",1.1206,2.0222,3.2521,0.2862,4.3507,1.0903,0.6611,1.1958,1.9857,1.8442,0.2663,1.3827,1.1385,27.6549,1.3893,1.1828,0.2203,0.8446,1.3513
"PI_431731_LSP_AGL",1.1307,2.019,3.2739,0.2898,4.3953,1.1076,0.6798,1.2027,2.0079,1.8716,0.2741,1.3905,1.1386,27.737,1.3947,1.1931,0.2208,0.8591,1.3647
"PI_431739_LSP_AGL",1.1863,2.311,3.5368,0.2885,4.7278,1.1508,0.9103,1.264,2.1207,1.9461,0.2736,1.4639,1.2091,30.4011,1.468,1.2174,0.2352,0.8968,1.4486
"PI_431753_LSP_AGL",1.125,2.1207,3.3087,0.2816,4.4863,1.0974,0.8217,1.2066,2.0198,1.8847,0.2632,1.4059,1.1515,28.3942,1.4076,1.1598,0.2199,0.8658,1.3804
"PI_431756_LSP_AGL",1.1032,2.0568,3.2307,0.284,4.3275,1.0806,0.7676,1.1823,1.9776,1.8311,0.2692,1.3737,1.1433,27.9567,1.3712,1.1729,0.2168,0.8615,1.3456
"PI_431809_LSP_AGL",1.1376,1.9727,3.2805,0.2748,4.3724,1.1123,0.6688,1.1877,1.9949,1.841,0.2837,1.3717,1.1506,27.7707,1.3548,1.2016,0.2207,0.843,1.3504
"PI_431824_LSP_AGL",1.1552,2.0401,3.2671,0.2649,4.4733,1.1323,0.7658,1.2083,2.0282,1.8585,0.2569,1.4026,1.1683,28.3058,1.3869,1.2029,0.2258,0.853,1.3615
"PI_431863_LSP_AGL",1.1023,1.9949,3.1619,0.2718,4.336,1.085,0.7578,1.1853,1.9771,1.8348,0.2615,1.3749,1.1325,27.5658,1.3711,1.1542,0.2166,0.8505,1.3477
"PI_431873_LSP_AGL",1.0539,1.8399,2.9413,0.2582,4.0799,1.0287,0.6686,1.1268,1.8708,1.7696,0.2408,1.3144,1.0903,26.105,1.301,1.1154,0.2028,0.7827,1.2718
"PI_431884_LSP_AGL",1.1663,2.0807,3.287,0.2765,4.4974,1.1045,0.6545,1.2275,2.043,1.8974,0.2695,1.4252,1.1536,27.942,1.4124,1.1986,0.2195,0.8828,1.3997
"PI_431888_LSP_AGL",1.1996,2.1689,3.479,0.283,4.6696,1.1367,0.7065,1.2515,2.1059,1.9421,0.2735,1.4499,1.1676,28.8724,1.4494,1.2189,0.2311,0.8782,1.4368
"PI_431893_LSP_AGL",1.1976,2.2751,3.4993,0.2992,4.7461,1.169,0.8028,1.2731,2.1543,1.9568,0.2669,1.4929,1.2061,29.6528,1.4675,1.2456,0.2351,0.8941,1.4589
"PI_431923_LSP_AGL",1.1517,2.1216,3.4372,0.2816,4.4837,1.088,0.7704,1.2092,2.0318,1.8699,0.2703,1.3969,1.1704,28.7614,1.3938,1.2038,0.2235,0.8429,1.371
"PI_431980_LSP_AGL",1.2958,2.3553,3.6001,0.2898,4.9752,1.2244,0.7872,1.3485,2.2528,2.0511,0.2833,1.559,1.2569,30.7132,1.5555,1.2962,0.2424,0.9569,1.5364
"PI_432000_LSP_AGL",1.161,2.0511,3.346,0.2738,4.4962,1.1038,0.7009,1.2099,2.0305,1.8986,0.2753,1.3965,1.1508,28.1835,1.3975,1.2076,0.223,0.8566,1.3819
"PI_432001_LSP_AGL",1.2633,2.4021,3.6846,0.2913,5.0258,1.2209,0.8607,1.3467,2.2565,2.035,0.2866,1.5538,1.2709,31.32,1.5506,1.266,0.2426,0.945,1.5307
"PI_432002_LSP_AGL",1.1912,2.2712,3.5173,0.2975,4.6902,1.1494,0.8329,1.2422,2.1122,1.9324,0.2747,1.4504,1.1935,29.672,1.4441,1.2227,0.2348,0.8924,1.4377
"PI_432005_LSP_AGL",1.2005,2.1797,3.4036,0.2729,4.6304,1.1302,0.8338,1.2247,2.0767,1.8857,0.2664,1.4212,1.1891,29.0248,1.4077,1.1635,0.2326,0.8725,1.4157
"PI_432028_LSP_AGL",1.136,2.0739,3.2108,0.2805,4.3354,1.0851,0.7546,1.1562,1.9744,1.8378,0.2637,1.3668,1.1364,27.7008,1.3616,1.2111,0.218,0.8551,1.3404
