"Name","Alanine_Su17","Arginine_Su17","Aspartic.acid_Su17","Cysteine_Su17","Glutamic.acid_Su17","Glycine_Su17","Histidine_Su17","Isoleucine_Su17","Leucine_Su17","Lysine_Su17","Methionine_Su17","Phenylalanine_Su17","Proline_Su17","Protein_Su17","Serine_Su17","Threonine_Su17","Tryptophan_Su17","Tyrosine_Su17","Valine_Su17"
"PI_299126_LSP_AGL",1.1539,2.2374,3.2537,0.2408,4.5404,1.1244,1.0599,1.2175,2.0572,1.8265,0.2489,1.4224,1.2233,29.6824,1.3803,1.1234,0.2237,0.8376,1.3853
"PI_299163_LSP_AGL",1.1748,2.2935,3.3244,0.2663,4.6638,1.1571,0.9456,1.2533,2.1048,1.8882,0.2688,1.4626,1.2316,29.7707,1.4293,1.1382,0.2325,0.8995,1.4454
"PI_299164_LSP_AGL",1.1263,1.9324,2.874,0.2539,4.0844,1.0568,0.8976,1.1375,1.8977,1.734,0.2438,1.3212,1.1554,27.1315,1.2887,1.0197,0.2147,0.7869,1.3062
"PI_299165_AGL",1.1114,1.9792,3.0258,0.2517,4.2925,1.0971,0.8699,1.171,1.9653,1.787,0.2596,1.3559,1.1769,27.8101,1.3258,1.076,0.2153,0.8119,1.3353
"PI_299177_LSP_AGL",1.1548,2.1494,3.2398,0.2599,4.5276,1.133,0.9548,1.218,2.0549,1.8703,0.2604,1.4234,1.1895,29.1582,1.3995,1.1492,0.2279,0.8603,1.403
"PI_299237_LSP_AGL",1.1897,2.2486,3.5541,0.2935,4.7584,1.1617,0.8779,1.274,2.1396,1.9167,0.2863,1.4684,1.216,29.4842,1.4348,1.1653,0.2294,0.8973,1.4426
"PI_299289_AGL",1.2333,2.3495,3.4894,0.2904,4.7099,1.163,0.9674,1.2692,2.1506,1.9306,0.2668,1.4944,1.2232,30.3292,1.459,1.2036,0.2352,0.9087,1.4688
"PI_299312_AGL",1.3219,2.5407,3.6575,0.2684,5.1506,1.2577,1.0087,1.3392,2.2911,2.0357,0.2853,1.5737,1.3207,32.2167,1.5232,1.254,0.2509,0.9538,1.5522
"PI_299345_AGL",1.1877,2.2532,3.2678,0.2517,4.6363,1.1368,1.0389,1.2335,2.0899,1.8721,0.2578,1.4394,1.2327,29.8313,1.4065,1.1103,0.2329,0.866,1.4153
"PI_299351_LSP_AGL",1.2059,2.2152,3.4277,0.2804,4.6228,1.1238,0.9316,1.2296,2.0888,1.9131,0.2758,1.4331,1.1944,29.606,1.4107,1.1468,0.2321,0.8805,1.4279
"PI_299366_LSP_AGL",1.1387,2.1769,3.1498,0.2468,4.5166,1.0869,0.9281,1.1973,2.0358,1.8151,0.2407,1.4064,1.2032,28.7448,1.3502,1.0628,0.22,0.8229,1.3803
"PI_299375_LSP_AGL",1.1922,2.1477,3.2385,0.2511,4.5695,1.129,0.9515,1.2227,2.0645,1.8664,0.2721,1.4206,1.2171,29.1075,1.3923,1.1145,0.2267,0.8692,1.4062
"PI_300250_LSP_AGL",1.1551,2.2761,3.2842,0.2483,4.662,1.101,1.0986,1.2497,2.1091,1.8578,0.2444,1.4575,1.2312,30.0001,1.4217,1.0608,0.2192,0.8613,1.4232
"PI_302398_LSP_AGL",1.065,1.9981,2.7952,0.2361,3.9971,1.0089,1.1002,1.1256,1.8697,1.6352,0.2176,1.3054,1.1543,26.9566,1.2796,0.9272,0.2025,0.7849,1.2683
"PI_308614_LSP_AGL",1.1557,2.2263,3.2538,0.253,4.49,1.0962,1.1019,1.2113,2.0505,1.8032,0.2468,1.4145,1.2025,29.2676,1.3856,1.0754,0.2199,0.858,1.3824
"PI_311107_LSP_AGL",1.098,2.1418,3.0955,0.2393,4.4182,1.066,1.0099,1.1866,1.9927,1.779,0.2377,1.3835,1.1849,28.5108,1.3444,1.048,0.2152,0.8034,1.3425
"PI_312175_LSP_AGL",1.1997,2.3102,3.4798,0.286,4.7933,1.1793,0.8796,1.2921,2.1598,1.9627,0.2712,1.5036,1.2144,30.1455,1.4804,1.1836,0.2369,0.9055,1.4837
"PI_320935_LSP_AGL",1.1962,2.1095,3.2679,0.2671,4.4626,1.1195,1.0345,1.2028,2.0353,1.8529,0.2712,1.3975,1.1961,28.9962,1.3786,1.0997,0.2278,0.8752,1.3778
"PI_320936_LSP_AGL",1.121,2.127,3.1517,0.25,4.4273,1.1009,0.7463,1.1772,2.0307,1.8137,0.2594,1.4032,1.1548,28.2885,1.378,1.1515,0.2215,0.8602,1.3746
"PI_320937_LSP_AGL",1.1817,2.208,3.2319,0.2664,4.5477,1.115,0.8062,1.2341,2.0884,1.8677,0.2499,1.4457,1.203,29.1334,1.4247,1.1039,0.2208,0.8666,1.4249
"PI_320941_LSP_AGL",1.131,2.1034,3.2061,0.2781,4.3873,1.122,0.9635,1.2038,2.0368,1.8317,0.2655,1.401,1.1716,28.9735,1.3995,1.148,0.2258,0.8553,1.3933
"PI_320945_LSP_AGL",1.1641,2.2548,3.2243,0.26,4.5319,1.1423,1.0721,1.2291,2.0762,1.8465,0.2531,1.4463,1.2102,29.3351,1.4236,1.1073,0.2235,0.8729,1.4171
"PI_320946_LSP_AGL",1.02,1.9886,2.9487,0.2528,4.1745,1.0315,0.9782,1.1393,1.8943,1.7127,0.2358,1.3209,1.125,27.4578,1.3101,1.0083,0.2083,0.7936,1.2843
"PI_320952_LSP_AGL",1.2237,2.2387,3.4262,0.2763,4.6688,1.1841,0.7595,1.2658,2.1722,1.91,0.273,1.484,1.2151,29.7897,1.4823,1.1951,0.2348,0.9059,1.4683
"PI_320953_LSP_AGL",1.1294,2.0549,3.1314,0.2626,4.3325,1.08,0.6727,1.1784,2.0203,1.8022,0.2573,1.3943,1.1526,27.8191,1.375,1.1116,0.2225,0.8525,1.3712
"PI_320954_LSP_AGL",1.1686,2.2049,3.2071,0.2603,4.5819,1.1315,0.8297,1.2492,2.0986,1.8628,0.2549,1.4502,1.2031,29.3726,1.4342,1.1261,0.2257,0.8667,1.4387
"PI_329157_LSP_AGL",1.2413,2.3462,3.4568,0.2762,4.9439,1.1988,0.911,1.333,2.2354,2.018,0.2765,1.5513,1.2641,30.9923,1.534,1.1609,0.2382,0.9445,1.5356
"PI_329167_LSP_AGL",1.3291,2.4862,3.6106,0.2874,5.093,1.2619,1.0349,1.3857,2.3141,2.0533,0.2746,1.5996,1.303,32.257,1.5826,1.2018,0.2527,0.9632,1.599
"PI_339266_LSP_AGL",1.1627,2.1217,3.1664,0.2657,4.4499,1.1324,0.9218,1.223,2.0512,1.8314,0.2571,1.4219,1.2162,28.654,1.3997,1.0689,0.2261,0.8338,1.3988
"PI_339283_LSP_AGL",1.0925,2.0382,3.0078,0.2443,4.2155,1.0488,1.0765,1.1443,1.9511,1.7168,0.2389,1.3432,1.1711,27.9365,1.3129,0.9747,0.2144,0.7943,1.3176
"PI_339285_AGL",1.1434,2.2523,3.3119,0.2515,4.6047,1.1179,1.1725,1.2221,2.0773,1.8364,0.2641,1.4162,1.2242,30.2624,1.3964,1.0924,0.2283,0.8698,1.4053
