"Name","BLUPs_Protein"
"PI_431663_LSP_AGL",28.3548272432704
"PI_431679_LSP_AGL",30.2954159671585
"PI_431684_LSP_AGL",28.1981248563735
"PI_431705_LSP_AGL",28.4513905913932
"PI_431710_LSP_AGL",28.9037380079533
"PI_431714_LSP_AGL",29.6478376192663
"PI_431717_LSP_AGL",28.5636515332617
"PI_431728_LSP_AGL",29.0598512090259
"PI_431731_LSP_AGL",28.9110817884054
"PI_431739_LSP_AGL",30.7990225504274
"PI_431753_LSP_AGL",29.1177808009592
"PI_431756_LSP_AGL",29.1303220420752
"PI_431809_LSP_AGL",28.4037507090332
"PI_431824_LSP_AGL",29.6797799078805
"PI_431863_LSP_AGL",28.8119091887753
"PI_431873_LSP_AGL",27.7571192669301
"PI_431884_LSP_AGL",29.6782648586182
"PI_431888_LSP_AGL",28.936374694146
"PI_431893_LSP_AGL",30.2945321884221
"PI_431923_LSP_AGL",29.4999098926804
"PI_431980_LSP_AGL",32.1430606272726
"PI_432000_LSP_AGL",28.6819726721796
"PI_432001_LSP_AGL",31.0624096562134
"PI_432002_LSP_AGL",29.4848646118115
"PI_432005_LSP_AGL",29.6890385422614
"PI_432028_LSP_AGL",28.7047404958163
"PI_432033_LSP_AGL",28.0953329723946
"PI_432085_LSP_AGL",31.065292458282
"PI_432106_LSP_AGL",30.8456523999458
"PI_432124_LSP_AGL",28.6519873221959
"PI_432145_LSP_AGL",29.3181250235516
"PI_432147_LSP_AGL",29.0176402531893
"PI_432184_LSP_AGL",30.2398431185221
"PI_432188_LSP_AGL",28.9317874616572
"PI_432190_LSP_AGL",29.0799256117518
"PI_432201_LSP_AGL",29.1307218467416
"PI_432212_LSP_AGL",29.4252095471072
"PI_432236_LSP_AGL",29.1673776219497
"PI_432245_LSP_AGL",30.352672203864
"PI_432271_LSP_AGL",29.8673303811465
"PI_432286_LSP_AGL",29.6605682415401
"PI_451763_LSP_AGL",29.6242912286476
"PI_458503_LSP_AGL",27.6736653033967
"PI_468900_LSP_AGL",29.805213361391
"PI_468901_AGL",31.1237270666361
"PI_468902_LSP_AGL",30.4626184871374
"PI_472136_LSP_AGL",28.4667935922269
"PI_472205_LSP_AGL",28.3455896512404
"PI_472213_LSP_AGL",29.0558742047123
"PI_472327_LSP_AGL",28.5369277476623
"PI_472380_LSP_AGL",27.7657255884341
"PI_472416_LSP_AGL",29.1806132606442
"PI_472488_LSP_AGL",28.4159342301845
"PI_472559_LSP_AGL",28.9610152870097
"PI_472561_LSP_AGL",28.2389680594039
"PI_472569_LSP_AGL",28.1884032902736
"PI_472588_LSP_AGL",31.2065287172927
"PI_472590_LSP_AGL",28.2909426660422
"PI_472615_LSP_AGL",29.9722685849138
"PI_472629_LSP_AGL",28.6512718822665
"PI_477921_LSP_AGL",29.7721137434792
"PI_490288_LSP_AGL",29.2074001732963
"PI_490289_LSP_AGL",29.1890722856922
"PI_508090_AGL",28.6370051683796
"PI_518731_LSP_AGL",30.087243990044
"PI_518733_LSP_AGL",30.2571188885829
"PI_518734_LSP_AGL",30.23954852561
"PI_533688_LSP_AGL",30.1542428352004
"PI_533693_LSP_AGL",29.4890520396337
"PI_612875_AGL",30.2259972516525
"PI_643451_AGL",30.0640763617409
"PI_643452_AGL",30.6717584123916
"W6_27754_LSP_AGL",27.8370170731671
"W6_27760_LSP_AGL",28.8521842483323
"W6_27763_LSP_AGL",28.9612257105184
"W6_27766_LSP_AGL",28.6528711009323
"W6_27767_LSP_AGL",28.4056445206111
