"Name","DTF_Ro16","DTF_Ro17","DTF_Su16","DTF_Su17","REP_Ro16","REP_Ro17","REP_Su16","REP_Su17"
"PI_297787_LSP_AGL",44,45,48.3,48.7,50,32.3,47,39.7
"PI_298023_LSP_AGL",45.7,41.3,47,46.7,49,38,47.7,41.5
"PI_298121_LSP_AGL",45,45.3,50.3,48,51,36,45.3,40
"PI_298122_LSP_AGL",48.3,48,53,54.3,47.7,34,44.7,35.5
"PI_298357_LSP_AGL",46,42.7,47,45.7,48,35.7,47.7,42.3
"PI_298631_LSP_AGL",50,51,54.7,58.3,47.3,NA,44.3,35
"PI_298644_LSP_AGL",53.7,51.3,57.7,59.3,43.3,NA,41,NA
"PI_298645_AGL",48,47.3,53,54,46,34,42.3,37
"PI_298921_AGL",48.7,46,50.7,48.3,47.3,35,46.3,40.7
"PI_298922_LSP_AGL",48.7,46.3,53,52.3,48,36,44,38
"PI_298923_LSP_AGL",46,43.3,48.3,47,49.3,36.3,47.3,41
"PI_299116_LSP_AGL",46,44,48,47,47.7,37.3,46.7,39
"PI_299120_LSP_AGL",45.7,44.7,48,47.7,48.3,35.3,45,38.7
"PI_299121_LSP_AGL",45.3,42,47.3,46.3,49.3,37.7,47.3,42
"PI_299126_LSP_AGL",44,40.3,46.7,44.3,48.3,39.3,45.7,41.7
"PI_299163_LSP_AGL",49.3,46.3,50,51.5,48,NA,48.7,39
"PI_299164_LSP_AGL",44.7,46,49.7,48,52,35,47.3,39
"PI_299165_AGL",47.3,46.7,50,49.7,48,35.5,46.7,38.5
"PI_299177_LSP_AGL",46.7,46,48.7,48.3,50.7,36,47.3,NA
"PI_299237_LSP_AGL",45.7,45.3,49,48,47,33.3,46.7,41
"PI_299289_AGL",49,48.3,52,50,47.7,33,47.7,42
"PI_299312_AGL",49,49.7,54,55.7,48.3,NA,45.3,35
"PI_299345_AGL",49.7,47,54.3,53,45.7,34.5,42,NA
"PI_299351_LSP_AGL",45,45.3,49,49.7,47.7,34.7,41.3,38
"PI_299366_LSP_AGL",50,44.3,52.7,47.3,46,37,42.3,42
"PI_299375_LSP_AGL",46,45.3,50,50.3,52.7,NA,48.3,NA
"PI_300250_LSP_AGL",45.7,45.7,50,48,46,35.3,41,37
"PI_302398_LSP_AGL",44.7,42.3,45.7,45.3,46.7,36.3,45.3,38
"PI_308614_LSP_AGL",47.3,46.3,52.3,51.7,43.7,34.3,41.7,32.5
"PI_311107_LSP_AGL",49.3,46.7,52.3,53,45.3,NA,41.7,37
"PI_312175_LSP_AGL",48.7,48.3,55.7,56,49.3,32,48.3,34
"PI_320935_LSP_AGL",43.7,42,45.3,45,51.3,39.3,47,42.3
"PI_320936_LSP_AGL",48.3,46.3,52,52.3,46,35.7,46,35.3
"PI_320937_LSP_AGL",52.7,51.7,59,59.3,46,NA,45,31
"CN_105866_AGL",51,49,55.7,54.3,45,NA,39,34
"PI_320941_LSP_AGL",45,44.3,49,50,47.7,NA,45.7,39
"PI_320945_LSP_AGL",46.7,46.7,51.7,51.3,47.3,35,43.7,38
"PI_320946_LSP_AGL",44,42.7,48,48,48,33.3,43.3,38
"PI_320952_LSP_AGL",54.7,53.7,60.3,61.7,46,NA,44.7,NA
"PI_320953_LSP_AGL",52,51.3,58.3,59.3,46,NA,46,33
"PI_320954_LSP_AGL",50.7,49,54,54.7,45.3,33,42.7,32.7
"PI_329157_LSP_AGL",44,43.3,47,46.7,53,38,48.7,42
"PI_329167_LSP_AGL",45.3,45,46.7,49,49.3,35.7,51,40.5
"PI_339266_LSP_AGL",44.7,41.3,46,43,49.3,39,48.3,46
"PI_339283_LSP_AGL",45,44.3,50.3,50,50,35.3,44.3,35
"PI_339285_AGL",46.3,45.3,51,48.7,47,32.7,43.7,37.7
"PI_339289_LSP_AGL",44.7,41,46.3,45,50,39.3,49.7,41
"PI_339292_LSP_AGL",45,42,48.3,46.3,51,33,48.7,40
"PI_339296_AGL",44.3,40,47.3,46.3,51.7,38,50.3,40
"PI_343026_LSP_AGL",45,44.3,48.3,47.7,49.7,34.5,46.3,39.3
"PI_345627_LSP_AGL",53,52,56.3,59,45,NA,41.7,NA
"PI_358602_LSP_AGL",49.7,46.3,52.3,53,48.3,35,47.3,34
"PI_368647_LSP_AGL",48.7,47.3,51,53,49.3,36,42.3,36
"PI_368651_LSP_AGL",51,47.7,52.7,53,46,NA,46,38
"PI_370481_LSP_AGL",49.3,46.7,54,53.3,43.3,35,39.7,35.5
"PI_374116_LSP_AGL",48,48.3,52.3,54.3,47,33.7,44,36
"PI_374117_LSP_AGL",44,43,47,48,48,38,47.7,36.3
"PI_374118_AGL",44,44.3,46.7,47.7,46.3,33.3,42.7,36.7
"PI_374120_LSP_AGL",48,49,54,56.7,49.3,NA,42.3,32.5
"PI_374121_AGL",45.3,45.7,49.7,50.7,48.7,34.5,44.3,37.3
